,n,prob,population
0,1,0.9999999970842566,White
1,2,0.9999979397413068,White
2,3,0.9996450201369151,White
3,4,0.9989318973261031,White
4,5,0.9884154200234653,White
5,6,0.980725262434221,White
6,7,0.9623340730344939,White
7,8,0.9412712254218628,White
8,9,0.9099725289687479,White
9,10,0.8631547868076972,White
0,1,0.9999437152681818,Black
1,2,0.999582860060981,Black
2,3,0.9975084003180219,Black
3,4,0.9923125406999793,Black
4,5,0.9825426642595926,Black
5,6,0.9654686397626534,Black
6,7,0.9429862263795881,Black
7,8,0.9109593176537493,Black
8,9,0.8698391426585825,Black
9,10,0.8181698084246464,Black
0,1,1.0,Asians
1,2,0.9999887284235458,Asians
2,3,0.9998968794019185,Asians
3,4,0.9868757564996137,Asians
4,5,0.9847810233461808,Asians
5,6,0.9788638978944902,Asians
6,7,0.9583694764065207,Asians
7,8,0.9388662037835284,Asians
8,9,0.9103792057265915,Asians
9,10,0.8507592211395603,Asians
0,1,0.9999812374508128,Average
1,2,0.9998565094086113,Average
2,3,0.9990167666189519,Average
3,4,0.9927067315085654,Average
4,5,0.9852463692097463,Average
5,6,0.9750192666971215,Average
6,7,0.9545632586068676,Average
7,8,0.9303655822863801,Average
8,9,0.8967302924513073,Average
9,10,0.8440279387906345,Average
