,n,prob,population
0,1,0.9999999970842566,White
1,2,0.9998770315604607,White
2,3,0.9983169638494396,White
3,4,0.9789387507607089,White
4,5,0.939819995400916,White
5,6,0.8643070091668883,White
6,7,0.7607790642234554,White
7,8,0.6409210480069039,White
8,9,0.502823798996147,White
9,10,0.3745487057286715,White
0,1,0.9999437152681818,Black
1,2,0.998841188140848,Black
2,3,0.9935671754850882,Black
3,4,0.9777478847665731,Black
4,5,0.9438126008125816,Black
5,6,0.886445253032549,Black
6,7,0.8061700993852357,Black
7,8,0.7072692484362041,Black
8,9,0.5995405907119794,Black
9,10,0.49096589826631953,Black
0,1,1.0,Asians
1,2,0.9999361168640206,Asians
2,3,0.9851572434037097,Asians
3,4,0.9632941109709782,Asians
4,5,0.9100403765195971,Asians
5,6,0.8194036793609687,Asians
6,7,0.6895401303577557,Asians
7,8,0.5754952819409034,Asians
8,9,0.4744453392046144,Asians
9,10,0.3997760829395077,Asians
0,1,0.9999812374508128,Average
1,2,0.9995514455217765,Average
2,3,0.9923471275794125,Average
3,4,0.9733269154994201,Average
4,5,0.931224324244365,Average
5,6,0.8567186471868019,Average
6,7,0.7521630979888156,Average
7,8,0.6412285261280039,Average
8,9,0.5256032429709135,Average
9,10,0.42176356231149964,Average
