,n,prob,population
0,1,0.9999956065379696,White
1,2,0.9999455809215743,White
2,3,0.9997656229810707,White
3,4,0.9992412141895894,White
4,5,0.9988803522756052,White
5,6,0.9985637308640544,White
6,7,0.99700979420782,White
7,8,0.9920304301063341,White
8,9,0.988543769543076,White
9,10,0.9871705566772321,White
0,1,0.999967598673546,Black
1,2,0.9999146338362949,Black
2,3,0.9997748767379572,Black
3,4,0.99932022563813,Black
4,5,0.9982732445150766,Black
5,6,0.9976951045932774,Black
6,7,0.9960206207249214,Black
7,8,0.9939992186342814,Black
8,9,0.9925863030087342,Black
9,10,0.9907846052973097,Black
0,1,0.9992756566599047,Asians
1,2,0.9926449776294122,Asians
2,3,0.9876863796922991,Asians
3,4,0.9736498988068585,Asians
4,5,0.962534626819512,Asians
5,6,0.9514103479368923,Asians
6,7,0.9425905872484227,Asians
7,8,0.9238654182533643,Asians
8,9,0.8879797349104039,Asians
9,10,0.8625863895256813,Asians
0,1,0.9997462872904733,Average
1,2,0.9975017307957605,Average
2,3,0.995742293137109,Average
3,4,0.9907371128781927,Average
4,5,0.9865627412033979,Average
5,6,0.9825563944647414,Average
6,7,0.978540334060388,Average
7,8,0.9699650223313266,Average
8,9,0.9563699358207381,Average
9,10,0.9468471838334077,Average
