,n,prob,population
0,1,0.9999956065379696,White
1,2,0.9998350896801513,White
2,3,0.9976785318226021,White
3,4,0.9859016311913997,White
4,5,0.9566086348275679,White
5,6,0.9078788087515097,White
6,7,0.8617878995507271,White
7,8,0.8048520462115747,White
8,9,0.7377903173383331,White
9,10,0.6615550655079978,White
0,1,0.999967598673546,Black
1,2,0.9993650924779451,Black
2,3,0.9951546716960457,Black
3,4,0.9841200740525583,Black
4,5,0.9606944487998635,Black
5,6,0.9306850424553116,Black
6,7,0.8919359804155456,Black
7,8,0.8484208806797956,Black
8,9,0.7922293361765477,Black
9,10,0.729180203439496,Black
0,1,0.9992756566599047,Asians
1,2,0.9868231133257139,Asians
2,3,0.9630168659998609,Asians
3,4,0.9128484239744368,Asians
4,5,0.8393405401477824,Asians
5,6,0.7263888432566541,Asians
6,7,0.6197746712275072,Asians
7,8,0.48769174319671815,Asians
8,9,0.3784734963459755,Asians
9,10,0.29352098118248515,Asians
0,1,0.9997462872904733,Average
1,2,0.9953410984946034,Average
2,3,0.9852833565061695,Average
3,4,0.9609567097394649,Average
4,5,0.9188812079250712,Average
5,6,0.854984231487825,Average
6,7,0.79116618373126,Average
7,8,0.7136548900293628,Average
8,9,0.636164383286952,Average
9,10,0.5614187500433263,Average
