,n,prob,population
0,1,0.9999999970842566,White
1,2,0.9997242135067453,White
2,3,0.9916839054684186,White
3,4,0.9809455838545096,White
4,5,0.9542238960057756,White
5,6,0.9075499179722031,White
6,7,0.8399894018694136,White
7,8,0.7438993845319519,White
8,9,0.6342112830402182,White
9,10,0.5126868779311173,White
0,1,0.9999437152681818,Black
1,2,0.9990966540205313,Black
2,3,0.9934723746169826,Black
3,4,0.9779231898888942,Black
4,5,0.9460157719010679,Black
5,6,0.8953452621186211,Black
6,7,0.8287476516248005,Black
7,8,0.7424988247854745,Black
8,9,0.6462399675222569,Black
9,10,0.5535829163793966,Black
0,1,1.0,Asians
1,2,0.9999373053728379,Asians
2,3,0.9868796757931211,Asians
3,4,0.9759312241000624,Asians
4,5,0.9524510932453075,Asians
5,6,0.8961558013045324,Asians
6,7,0.8414463680283137,Asians
7,8,0.7529525752787081,Asians
8,9,0.6645972648487403,Asians
9,10,0.5669387483535144,Asians
0,1,0.9999812374508128,Average
1,2,0.9995860576333714,Average
2,3,0.9906786519595073,Average
3,4,0.9782666659478222,Average
4,5,0.9508969203840504,Average
5,6,0.8996836604651189,Average
6,7,0.8367278071741758,Average
7,8,0.7464502615320449,Average
8,9,0.6483495051370718,Average
9,10,0.5444028475546762,Average
