,count,prob
0,0,0.013812362127136992
1,1,0.1318246358142672
2,2,0.1724168050484242
3,3,0.08837899512562075
4,4,0.14619646145867085
5,5,0.17446567638821717
6,6,0.0529945019659601
7,7,0.08254326605716661
8,8,0.06061350393994153
9,9,0.01598561726945992
10,10,0.024362812131794802
11,11,0.00815764273722273
12,12,0.007290876742608608
13,13,0.007646307924703614
14,14,0.0026140460535033967
15,15,0.004935992060971247
16,16,0.002384978461993548
17,17,0.0011348575515779747
18,18,0.0013728687358181136
19,19,0.0004774821475790151
20,20,0.000248861383491595
21,21,8.001834992018021e-05
22,22,1.260148861538473e-05
23,23,1.8532357651316855e-05
24,24,1.0419649168683262e-05
25,25,1.9187862788087942e-06
26,26,1.4071944625047086e-05
27,27,3.529327999364274e-06
28,28,3.5696958817352766e-07
29,29,0.0
